B,H,Q,bf16_status,bf16_tflops,bf16_latency_ms,q8kv8_status,q8kv8_skip_reason,q8kv8_tflops,q8kv8_latency_ms,q8kv8_vs_bf16_tflops
16,524288,8,ok,279.3464046067117,0.13068799674510956,ok,,386.33617549510615,0.0944959968328476,1.3830003505469275
32,2048,8,ok,493.02105664255583,0.1480959951877594,ok,,576.0417327700449,0.12675200402736664,1.1683917451576102
32,4096,8,ok,447.39241052287645,0.1632000058889389,ok,,537.7566357918596,0.13577599823474884,1.2019797903218177
32,8192,8,ok,406.5754490436186,0.17958399653434753,ok,,510.1054015023901,0.14313599467277527,1.2546389672625424
32,16384,8,ok,333.5820759738039,0.21887999773025513,ok,,471.8158310180197,0.1547520011663437,1.4143920342262972
32,32768,8,ok,314.8477129251239,0.23190400004386902,ok,,449.7735621874514,0.16233600676059723,1.4285432090606136
32,65536,8,ok,313.16241497202,0.23315200209617615,ok,,443.91077155899404,0.16448000073432922,1.4175097340421774
32,131072,8,ok,305.3668830433046,0.2391040027141571,ok,,431.9767704124276,0.1690240055322647,1.4146156456368852
32,262144,8,ok,299.78995956799037,0.24355199933052063,ok,,430.0228841529387,0.16979199647903442,1.4344138968917415
32,524288,8,ok,303.82175816213095,0.24031999707221985,ok,,425.1353315248086,0.17174400389194489,1.3992919206857464
64,2048,8,ok,533.5440971462199,0.27369600534439087,ok,,620.5334075342399,0.23532800376415253,1.163040526271965
64,4096,8,ok,479.3490362845139,0.304639995098114,ok,,584.6768375816517,0.2497600018978119,1.219730912809474
64,8192,8,ok,430.0228841529387,0.33958399295806885,ok,,553.0056363046832,0.2640640139579773,1.2859911801996227
64,16384,8,ok,350.33032026808445,0.41683200001716614,ok,,508.34386984713115,0.28726398944854736,1.451041603987144
64,32768,8,ok,330.6573962188142,0.4416320025920868,ok,,483.2577329045252,0.30217599868774414,1.4615058922944126
64,65536,8,ok,327.47777888878477,0.4459199905395508,ok,,472.1087273946726,0.30931198596954346,1.4416511831631977
64,131072,8,ok,318.78468840471174,0.458079993724823,ok,,460.99635191171865,0.31676799058914185,1.446105690391449
64,262144,8,ok,316.77097517534054,0.4609920084476471,ok,,457.62163576554354,0.31910398602485657,1.4446450957580275
64,524288,8,ok,317.65298377375586,0.4597119987010956,ok,,456.4315511531194,0.31993600726127625,1.4368873408039722
128,2048,8,ok,554.1136111260561,0.527072012424469,ok,,646.7407366277107,0.45158401131629944,1.1671626966777084
128,4096,8,ok,495.5103863862872,0.5894079804420471,ok,,616.3428865275271,0.47385600209236145,1.2438546263832337
128,8192,8,ok,444.88448963470455,0.6564800143241882,ok,,575.8236880725253,0.5072000026702881,1.294321787988912
128,16384,8,ok,359.2382022019991,0.8129919767379761,ok,,531.1531971229975,0.5498560070991516,1.4785543237529366
128,32768,8,ok,339.66526834805,0.8598399758338928,ok,,502.1073389136958,0.5816640257835388,1.478241626986701
128,65536,8,ok,335.1131148877704,0.8715199828147888,ok,,490.79403863166885,0.5950719714164734,1.4645623129254017
128,131072,8,ok,325.67819617588117,0.8967679738998413,ok,,478.3942622345415,0.6104959845542908,1.4689170716733724
128,262144,8,ok,325.62008555840976,0.8969280123710632,ok,,476.4463182740116,0.612991988658905,1.4631969568368246
128,524288,8,ok,325.88750122154033,0.8961920142173767,ok,,473.45567906530715,0.616864025592804,1.4528193848816837
256,2048,8,ok,564.0968769543382,1.0354880094528198,ok,,654.7206255520174,0.8921599984169006,1.1606528103594074
256,4096,8,ok,502.1488128619414,1.1632319688796997,ok,,626.9917509611658,0.9316160082817078,1.2486174116148876
256,8192,8,ok,442.86608247528227,1.318943977355957,ok,,594.7545269122336,0.9821119904518127,1.3429669835811566
256,16384,8,ok,361.5793668503767,1.615455985069275,ok,,542.100568737268,1.07750403881073,1.499257475500785
256,32768,8,ok,341.988039328116,1.7079999446868896,ok,,513.6942633083523,1.1370879411697388,1.5020825415929095
